id;grupo;texto;opciones;normaDefault;correccionDefault
AP_REQ_001;Requisitos Generales:;1. Solicitud en formulario normalizado, dirigida al Director de Gestión de Ordenamiento Territorial o Patrimonio, según corresponda, suscrita por el o los propietarios y el profesional responsable. Cuando el propietario sea una persona jurídica, deberá estar suscrita por el representante legal.;Cumple|No Cumple;Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación;Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.
AP_REQ_002;Requisitos Generales:;2. Informe Predial de Regulaciones de Uso de Suelo (IPRUS vigente).;Cumple|No Cumple;Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación;Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.
AP_REQ_003;Requisitos Generales:;3. Copia simple de la escritura del inmueble inscrita en el Registro de la Propiedad.;Cumple|No Cumple;Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación;Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.
AP_REQ_004;Requisitos Generales:;4. Certificado de gravamen actualizado.;Cumple|No Cumple;Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación;Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.
AP_REQ_005;Requisitos Generales:;5. Para edificaciones de hasta 2 pisos o 400 m² de área bruta, se deberá adjuntar la disponibilidad de servicios o la carta de pago correspondiente de agua potable, empresa eléctrica y telecomunicaciones.;Cumple|No Cumple;Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación;Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.
AP_REQ_006;Requisitos Generales:;6. Un original físico y digital de la Propuesta Técnica del Anteproyecto de Edificación para la revisión de la propuesta. Una vez aprobada, deberán presentarse 2 originales adicionales.;Cumple|No Cumple;Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación;Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.
AP_REQ_007;Requisitos Generales:;7. Comprobante del pago de la tasa administrativa.;Cumple|No Cumple;Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación;Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.
AP_REQ_008;Requisitos Generales:;8. Copia del RUC y patente del profesional responsable.;Cumple|No Cumple;Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación;Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.
AP_REQ_009;Requisitos más de 2 pisos o 400 m2;1. Para edificaciones mayores a 2 pisos o 400 m² de área bruta, se deberán adjuntar las factibilidades de servicios o los respectivos pagos de agua potable, empresa eléctrica y telecomunicaciones.;Cumple|No Cumple|No Aplica;Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación;Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.
AP_REQ_010;Requisitos Complementarios:;1. Para edificaciones en zonas rurales se podrán plantear sistemas alternos, los cuales deberán ser aprobados previamente por la empresa correspondiente.;Cumple|No Cumple|No Aplica;Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación;Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.
AP_REQ_011;Requisitos Complementarios:;2. En caso de copropiedad, designación de un representante común, que podrá realizarse en el formulario normalizado, mediante autorización con reconocimiento de firma y rúbrica o mediante poder.;Cumple|No Cumple|No Aplica;Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación;Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.
AP_REQ_012;Requisitos Complementarios:;"3. Para proyectos de ampliación o modificación de construcciones existentes: a) original o copia certificada de los planos arquitectónicos aprobados, o licencia urbanística con el plano arquitectónico habilitante; y b) memoria técnica justificativa de las modificaciones o ampliaciones y planos de la propuesta, conforme al artículo correspondiente.";Cumple|No Cumple|No Aplica;Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación;Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.
AP_REQ_013;Requisitos Complementarios:;4. En el caso de edificaciones declaradas en propiedad horizontal, autorización de al menos el 75 % de los copropietarios.;Cumple|No Cumple|No Aplica;Ordenanza 016-2023, requisitos para la aprobación de anteproyectos de edificación;Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.
